id,english_name,sanskrit_name,category,difficulty_level,target_muscles,benefits,contraindications,duration_seconds,image_asset_path,youtube_video_id,youtube_url
pose_027,Bound Tree Pose,Bound Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_027.png,yt_id_027,https://www.youtube.com/results?search_query=Yoga+Bound+Tree+Pose+Tutorial
pose_028,Bound Triangle Pose,Bound Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_028.png,yt_id_028,https://www.youtube.com/results?search_query=Yoga+Bound+Triangle+Pose+Tutorial
pose_029,Bound Extended Side Angle,Bound Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_029.png,yt_id_029,https://www.youtube.com/results?search_query=Yoga+Bound+Extended+Side+Angle+Tutorial
pose_030,Bound Chair Pose,Bound Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_030.png,yt_id_030,https://www.youtube.com/results?search_query=Yoga+Bound+Chair+Pose+Tutorial
pose_031,Bound Child's Pose,Bound Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_031.png,yt_id_031,https://www.youtube.com/results?search_query=Yoga+Bound+Child's+Pose+Tutorial
pose_032,Bound Bridge Pose,Bound Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_032.png,yt_id_032,https://www.youtube.com/results?search_query=Yoga+Bound+Bridge+Pose+Tutorial
pose_033,Bound Wheel Pose,Bound Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_033.png,yt_id_033,https://www.youtube.com/results?search_query=Yoga+Bound+Wheel+Pose+Tutorial
pose_034,Bound Crow Pose,Bound Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_034.png,yt_id_034,https://www.youtube.com/results?search_query=Yoga+Bound+Crow+Pose+Tutorial
pose_035,Bound Plank Pose,Bound Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_035.png,yt_id_035,https://www.youtube.com/results?search_query=Yoga+Bound+Plank+Pose+Tutorial
pose_036,Bound Four-Limbed Staff Pose,Bound Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_036.png,yt_id_036,https://www.youtube.com/results?search_query=Yoga+Bound+Four-Limbed+Staff+Pose+Tutorial
pose_037,Bound Camel Pose,Bound Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_037.png,yt_id_037,https://www.youtube.com/results?search_query=Yoga+Bound+Camel+Pose+Tutorial
pose_038,Bound Pigeon Pose,Bound Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_038.png,yt_id_038,https://www.youtube.com/results?search_query=Yoga+Bound+Pigeon+Pose+Tutorial
pose_039,Bound Seated Forward Bend,Bound Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_039.png,yt_id_039,https://www.youtube.com/results?search_query=Yoga+Bound+Seated+Forward+Bend+Tutorial
pose_040,Bound Corpse Pose,Bound Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_040.png,yt_id_040,https://www.youtube.com/results?search_query=Yoga+Bound+Corpse+Pose+Tutorial
pose_041,Revolved Downward-Facing Dog,Revolved Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_041.png,yt_id_041,https://www.youtube.com/results?search_query=Yoga+Revolved+Downward-Facing+Dog+Tutorial
pose_042,Revolved Upward-Facing Dog,Revolved Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_042.png,yt_id_042,https://www.youtube.com/results?search_query=Yoga+Revolved+Upward-Facing+Dog+Tutorial
pose_043,Revolved Cobra Pose,Revolved Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_043.png,yt_id_043,https://www.youtube.com/results?search_query=Yoga+Revolved+Cobra+Pose+Tutorial
pose_044,Revolved Warrior I,Revolved Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_044.png,yt_id_044,https://www.youtube.com/results?search_query=Yoga+Revolved+Warrior+I+Tutorial
pose_045,Revolved Warrior II,Revolved Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_045.png,yt_id_045,https://www.youtube.com/results?search_query=Yoga+Revolved+Warrior+II+Tutorial
pose_046,Revolved Warrior III,Revolved Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_046.png,yt_id_046,https://www.youtube.com/results?search_query=Yoga+Revolved+Warrior+III+Tutorial
pose_047,Revolved Tree Pose,Revolved Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_047.png,yt_id_047,https://www.youtube.com/results?search_query=Yoga+Revolved+Tree+Pose+Tutorial
pose_048,Revolved Triangle Pose,Revolved Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_048.png,yt_id_048,https://www.youtube.com/results?search_query=Yoga+Revolved+Triangle+Pose+Tutorial
pose_049,Revolved Extended Side Angle,Revolved Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_049.png,yt_id_049,https://www.youtube.com/results?search_query=Yoga+Revolved+Extended+Side+Angle+Tutorial
pose_050,Revolved Chair Pose,Revolved Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_050.png,yt_id_050,https://www.youtube.com/results?search_query=Yoga+Revolved+Chair+Pose+Tutorial
pose_051,Revolved Child's Pose,Revolved Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_051.png,yt_id_051,https://www.youtube.com/results?search_query=Yoga+Revolved+Child's+Pose+Tutorial
pose_052,Revolved Bridge Pose,Revolved Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_052.png,yt_id_052,https://www.youtube.com/results?search_query=Yoga+Revolved+Bridge+Pose+Tutorial
pose_053,Revolved Wheel Pose,Revolved Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_053.png,yt_id_053,https://www.youtube.com/results?search_query=Yoga+Revolved+Wheel+Pose+Tutorial
pose_054,Revolved Crow Pose,Revolved Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_054.png,yt_id_054,https://www.youtube.com/results?search_query=Yoga+Revolved+Crow+Pose+Tutorial
pose_055,Revolved Plank Pose,Revolved Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_055.png,yt_id_055,https://www.youtube.com/results?search_query=Yoga+Revolved+Plank+Pose+Tutorial
pose_056,Revolved Four-Limbed Staff Pose,Revolved Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_056.png,yt_id_056,https://www.youtube.com/results?search_query=Yoga+Revolved+Four-Limbed+Staff+Pose+Tutorial
pose_057,Revolved Camel Pose,Revolved Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_057.png,yt_id_057,https://www.youtube.com/results?search_query=Yoga+Revolved+Camel+Pose+Tutorial
pose_058,Revolved Pigeon Pose,Revolved Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_058.png,yt_id_058,https://www.youtube.com/results?search_query=Yoga+Revolved+Pigeon+Pose+Tutorial
pose_059,Revolved Seated Forward Bend,Revolved Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_059.png,yt_id_059,https://www.youtube.com/results?search_query=Yoga+Revolved+Seated+Forward+Bend+Tutorial
pose_060,Revolved Corpse Pose,Revolved Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_060.png,yt_id_060,https://www.youtube.com/results?search_query=Yoga+Revolved+Corpse+Pose+Tutorial
pose_061,Supported Downward-Facing Dog,Supported Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_061.png,yt_id_061,https://www.youtube.com/results?search_query=Yoga+Supported+Downward-Facing+Dog+Tutorial
pose_062,Supported Upward-Facing Dog,Supported Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_062.png,yt_id_062,https://www.youtube.com/results?search_query=Yoga+Supported+Upward-Facing+Dog+Tutorial
pose_063,Supported Cobra Pose,Supported Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_063.png,yt_id_063,https://www.youtube.com/results?search_query=Yoga+Supported+Cobra+Pose+Tutorial
pose_064,Supported Warrior I,Supported Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_064.png,yt_id_064,https://www.youtube.com/results?search_query=Yoga+Supported+Warrior+I+Tutorial
pose_065,Supported Warrior II,Supported Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_065.png,yt_id_065,https://www.youtube.com/results?search_query=Yoga+Supported+Warrior+II+Tutorial
pose_066,Supported Warrior III,Supported Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_066.png,yt_id_066,https://www.youtube.com/results?search_query=Yoga+Supported+Warrior+III+Tutorial
pose_067,Supported Tree Pose,Supported Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_067.png,yt_id_067,https://www.youtube.com/results?search_query=Yoga+Supported+Tree+Pose+Tutorial
pose_068,Supported Triangle Pose,Supported Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_068.png,yt_id_068,https://www.youtube.com/results?search_query=Yoga+Supported+Triangle+Pose+Tutorial
pose_069,Supported Extended Side Angle,Supported Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_069.png,yt_id_069,https://www.youtube.com/results?search_query=Yoga+Supported+Extended+Side+Angle+Tutorial
pose_070,Supported Chair Pose,Supported Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_070.png,yt_id_070,https://www.youtube.com/results?search_query=Yoga+Supported+Chair+Pose+Tutorial
pose_071,Supported Child's Pose,Supported Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_071.png,yt_id_071,https://www.youtube.com/results?search_query=Yoga+Supported+Child's+Pose+Tutorial
pose_072,Supported Bridge Pose,Supported Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_072.png,yt_id_072,https://www.youtube.com/results?search_query=Yoga+Supported+Bridge+Pose+Tutorial
pose_073,Supported Wheel Pose,Supported Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_073.png,yt_id_073,https://www.youtube.com/results?search_query=Yoga+Supported+Wheel+Pose+Tutorial
pose_074,Supported Crow Pose,Supported Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_074.png,yt_id_074,https://www.youtube.com/results?search_query=Yoga+Supported+Crow+Pose+Tutorial
pose_075,Supported Plank Pose,Supported Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_075.png,yt_id_075,https://www.youtube.com/results?search_query=Yoga+Supported+Plank+Pose+Tutorial
pose_076,Supported Four-Limbed Staff Pose,Supported Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_076.png,yt_id_076,https://www.youtube.com/results?search_query=Yoga+Supported+Four-Limbed+Staff+Pose+Tutorial
pose_077,Supported Camel Pose,Supported Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_077.png,yt_id_077,https://www.youtube.com/results?search_query=Yoga+Supported+Camel+Pose+Tutorial
pose_078,Supported Pigeon Pose,Supported Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_078.png,yt_id_078,https://www.youtube.com/results?search_query=Yoga+Supported+Pigeon+Pose+Tutorial
pose_079,Supported Seated Forward Bend,Supported Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_079.png,yt_id_079,https://www.youtube.com/results?search_query=Yoga+Supported+Seated+Forward+Bend+Tutorial
pose_080,Supported Corpse Pose,Supported Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_080.png,yt_id_080,https://www.youtube.com/results?search_query=Yoga+Supported+Corpse+Pose+Tutorial
pose_081,Extended Downward-Facing Dog,Extended Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_081.png,yt_id_081,https://www.youtube.com/results?search_query=Yoga+Extended+Downward-Facing+Dog+Tutorial
pose_082,Extended Upward-Facing Dog,Extended Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_082.png,yt_id_082,https://www.youtube.com/results?search_query=Yoga+Extended+Upward-Facing+Dog+Tutorial
pose_083,Extended Cobra Pose,Extended Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_083.png,yt_id_083,https://www.youtube.com/results?search_query=Yoga+Extended+Cobra+Pose+Tutorial
pose_084,Extended Warrior I,Extended Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_084.png,yt_id_084,https://www.youtube.com/results?search_query=Yoga+Extended+Warrior+I+Tutorial
pose_085,Extended Warrior II,Extended Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_085.png,yt_id_085,https://www.youtube.com/results?search_query=Yoga+Extended+Warrior+II+Tutorial
pose_086,Extended Warrior III,Extended Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_086.png,yt_id_086,https://www.youtube.com/results?search_query=Yoga+Extended+Warrior+III+Tutorial
pose_087,Extended Tree Pose,Extended Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_087.png,yt_id_087,https://www.youtube.com/results?search_query=Yoga+Extended+Tree+Pose+Tutorial
pose_088,Extended Triangle Pose,Extended Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_088.png,yt_id_088,https://www.youtube.com/results?search_query=Yoga+Extended+Triangle+Pose+Tutorial
pose_089,Extended Extended Side Angle,Extended Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_089.png,yt_id_089,https://www.youtube.com/results?search_query=Yoga+Extended+Extended+Side+Angle+Tutorial
pose_090,Extended Chair Pose,Extended Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_090.png,yt_id_090,https://www.youtube.com/results?search_query=Yoga+Extended+Chair+Pose+Tutorial
pose_091,Extended Child's Pose,Extended Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_091.png,yt_id_091,https://www.youtube.com/results?search_query=Yoga+Extended+Child's+Pose+Tutorial
pose_092,Extended Bridge Pose,Extended Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_092.png,yt_id_092,https://www.youtube.com/results?search_query=Yoga+Extended+Bridge+Pose+Tutorial
pose_093,Extended Wheel Pose,Extended Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_093.png,yt_id_093,https://www.youtube.com/results?search_query=Yoga+Extended+Wheel+Pose+Tutorial
pose_094,Extended Crow Pose,Extended Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_094.png,yt_id_094,https://www.youtube.com/results?search_query=Yoga+Extended+Crow+Pose+Tutorial
